d_name,d_speciality,total_score,total_survey_count,five_star,five_star_percentage,four_star,four_star_percentage,three_star,three_star_percentage,two_star,two_star_percentage,one_star,one_star_percentage,positive_tags,negative_tags,comment_text
"Dr. Vincent Zammuto, DDS",General Medical Practice,5.0,Based on 1 rating,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,[],[],NA
"Dr. Chalice Coleman, DDS",Dentistry,5.0,Based on 48 ratings,5 Star,96%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,0%,"['Explained conditions well (47)', 'Listened & answered questions (47)', 'Staff friendliness (47)', ""Trusted the provider's decisions (46)"", 'Appointment scheduling (45)', ""Appointment wasn't rushed (45)"", 'Wait times (38)']",['Long wait times (5)'],Very friendly and professional. Staff is also amazing.
"Dr. Chalice Coleman, DDS",Dentistry,5.0,Based on 48 ratings,5 Star,96%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,0%,"['Explained conditions well (47)', 'Listened & answered questions (47)', 'Staff friendliness (47)', ""Trusted the provider's decisions (46)"", 'Appointment scheduling (45)', ""Appointment wasn't rushed (45)"", 'Wait times (38)']",['Long wait times (5)'],DR COLEMAN IS RHE BEST DENTIST IN CHICAGO SHE IS WARM AND FREINDLY SHE TAKES ALL THE FEAR OUT OF GOING TO THE DENTIST WHEN I GO TO HER FOR TREATMENT I FEEL LIKE I AM VISITING MY FAVORITE AUNT (on my mom’s side) I WOULD RECOMMEND HER TO EVERYONE I KNOW IN FACT I HAVE YES I LOVE DR COLEMAN
"Dr. Chalice Coleman, DDS",Dentistry,5.0,Based on 48 ratings,5 Star,96%,4 Star,4%,3 Star,0%,2 Star,0%,1 Star,0%,"['Explained conditions well (47)', 'Listened & answered questions (47)', 'Staff friendliness (47)', ""Trusted the provider's decisions (46)"", 'Appointment scheduling (45)', ""Appointment wasn't rushed (45)"", 'Wait times (38)']",['Long wait times (5)'],Dr. Coleman is a gentle dentist that takes time to understand your dental issues and recommends the best treatment plan. I have never experienced any pain for the years I have been her patient.
"Dr. Nicolas Castillo, MD",General Medical Practice,5.0,Based on 1 rating,5 Star,100%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,0%,"['Appointment scheduling (1)', ""Appointment wasn't rushed (1)"", 'Explained conditions well (1)', 'Listened & answered questions (1)', 'Staff friendliness (1)', ""Trusted the provider's decisions (1)"", 'Wait times (1)']",[],My visit was very nice. Dr.Castillo is very funny and makes ur visit fun and exciting instead of boring.He also does his job very well. He also speaks Spanish and English which is very helpful
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]","Wonderful family medicine Doctor In Rockford
My husband and I had to choose a new family doctor being that our family doctor retired. We were so very lucky that Dr. Yaser Mustafa took us as his patients. We can't say enough about him, as we just met him. He is very kind, and he has a wonderful personality! He is very easy to talk to, and he took a lot of time with both of us on our first visit. I know my son will love him as well. We really appreciated him today, and would recommend him to others. Thank you Dr Mustafa!"
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]",Takes his time and answers your questions in a understanding manner. Seems more like an old fashioned doctor and not a machine that is in a hurry to the next patient. Hopefully Jovan Bea will let him to continue practice medicine this way.
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]",Excellent doctor. Best in town
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]","I love coming to The Medina Clinic to see Dr. Mustafa because he is very through and explains everything really well. Every time I go, with some new issue or medical problem, he would explain the treatment options I have really well and always gives me time to ask questions. on top of that he speaks Spanish and Arabic and thus almost any patient can be seen by him! No question asked, he is the best doctor I have seen! I highly recommend him with no hesitation!"
"Dr. Yaser Mustafa, MD",Family Medicine,4.6,Based on 9 ratings,5 Star,89%,4 Star,0%,3 Star,0%,2 Star,0%,1 Star,11%,"['Explained conditions well (6)', 'Appointment scheduling (5)', ""Appointment wasn't rushed (5)"", 'Listened & answered questions (5)', 'Staff friendliness (5)', ""Trusted the provider's decisions (5)"", 'Wait times (4)']","['Appointment was rushed (1)', ""Didn't explain conditions well (1)"", ""Didn't listen or answer questions (1)"", ""Didn't trust the provider's decisions (1)"", ""Staff wasn't friendly (1)""]","Dr. Mustafa is a wonderful doctor, he helped me a lot when I visited the clinic, and took his time to listen to my concern and my health problem, he is a nice person and I recommend him."
